Doc,Clause,Rank,Notes
Newlink,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement in confidence to your immediate family; (b) you may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor; and (c) you may disclose this Agreement insofar as such disclosure may be required by law. Nothing herein shall alter any corporate or other reporting right or obligations applicable to the Company. ",8,"- only applies to employee and missing cave outs at end relating to EEOC and employees of Company, also disclosure to immediate family in confidence"
2 from Eliem,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed by you in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement in confidence to your immediate family and to your attorneys, accountants, tax preparers and financial advisors; (b) you may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law; and (c) you may make such statements and disclosures as set forth in the section of this Agreement entitled ""Protected Rights."" In particular, and without limitation, you agree not to disclose the terms of this Agreement to any current or former Company employee or independent contractor. You acknowledge that nothing in this Agreement prevents you from discussing or disclosing information about unlawful acts in the workplace, such as harassment, discrimination, retaliation, or any other conduct that you have reason to believe is unlawful.",7,"- in confidence to family member, includes employees of Company, doesn't include EEOC applies only to employee, doesn't include auditors"
Biocept,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed by you in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement in confidence to your immediate family and to your creditors, attorneys, accountants, tax preparers and financial advisors; (b) you may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law; and (c) you may make such statements and disclosures as set forth in the section of this Agreement entitled ""Protected Rights."" In particular, and without limitation, you agree not to disclose the terms of this Agreement to any current or former Company employee or independent contractor.",6,"- applies only to empoloyee, confidence to immediate family member, includes creditors but not auditors, doesn't include EEOC but does include employees of Company"
Mirum,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed by you in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement in confidence to your immediate family and to your attorneys, accountants, tax preparers and financial advisors; (b) you may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law; and (c) you may make such statements and disclosures as set forth in the section of this Agreement entitled ""Protected Rights."" In particular, and without limitation, you agree not to disclose the terms of this Agreement to any current or former Company employee or independent contractor.",6,"-only applies to employee, doesn't carve out auditors, has a seperate carve out for Protected Rights, also has restriction on employees of Company"
Array,"Confidentiality. The provisions of this Agreement shall be held in strictest confidence by Employee and Array and shall not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) Employee may disclose this Agreement to his immediate family; (b) the parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors; (c) Array may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements; and (d) the parties may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law. In particular, and without limitation, Employee agrees not to disclose the existence or terms of this Agreement to any current or former Array employees, consultants, or independent contractors. ",1,"- applies to both employee and Company (most similar), includes restriction on employees to Company, missing EEOC carve out"
2 from 2 (2),"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement to your immediate family; (b) you may disclose this Agreement in confidence to your attorneys, accountants, auditors, tax preparers, and financial advisors; and (c) you may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law. In particular, and without limitation, you agree not to disclose the terms of this Agreement to any current or former Company employee or independent contractor. Notwithstanding the preceding sentences in this paragraph, during the Consulting Period, you are permitted to inform Company employees and/or third parties that you are engaged as a consultant for the Company.",3,"Only applies to employee, doesn't have corporate reporting carve out, doesn't have carve out at end regarding Equal Employment Opportunity Commission- but does restrict against Company employees"
Adagio,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement to your immediate family; (b) you may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor; and (c) you may disclose this Agreement insofar as such disclosure may be required by law. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, the Securities and Exchange Commission, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. 11. Non-Disparagement. You agree not to disparage the Company, and the Company's attorneys, directors, managers, partners, employees, agents and affiliates, in any manner likely to be harmful to them or their business, business reputation or personal reputation; provided that you may respond accurately and fully to any question, inquiry or request for information when required by legal process. You further agree that, by no later than the Effective Date, you shall delete or otherwise remove any and all disparaging public comments or statements that you made prior to the Effective Date about or relating to the Company, including, but not limited to, comments in online forums or on websites (including, but not limited to, Facebook, Glassdoor, Yelp, and LinkedIn). Notwithstanding the foregoing, nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, the Securities and Exchange Commission, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. 16 DM_US 180923310-7.115049.0011 12. Cooperation after Termination. You agree to cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company, including, but not limited to, any present, prior or subsequent relationships and the orderly transfer of any such work and institutional knowledge to such other persons as may be designated by the Company, by making yourself reasonably available during regular business hours. ",2,"Only applies to employee (not company), missing carve out (c) related to corporate reporting and doesn't contain restriction on employees of company- but does have Equal Employment Opportunity Commission carve-out"
Heat Biologics,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement to your immediate family; (b) you may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor; and (c) you may disclose this Agreement insofar as such disclosure may be required by law. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to discuss your employment with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, other federal government agency or similar state or local agency (e.g. the applicable State unemployment/employment security agency or Department of Labor and any applicable Departments of Revenue) or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. Also, and notwithstanding any of the foregoing, neither the fact that the Parties have a reached a mutual agreement to conclude their relationship nor the official Separation Date agreed upon shall be considered confidential information subject to this provision. ",2,"- very similar other than only applies to employee, doesn't include carve out on reporting and doesn't include carve out on company employees"
Proteostatus,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement to your immediate family; (b) you may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor; and (c) you may disclose this Agreement insofar as such disclosure may be required by law. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, the Securities and Exchange Commission, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. 12.Non-Disparagement. You agree not to disparage the Company, and the Company's attorneys, directors, managers, partners, employees, agents and affiliates, in any manner likely to be harmful to them or their business, business reputation or personal reputation; provided that you may respond accurately and fully to any question, inquiry or request for information when required [Name] [Date] by legal process. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, the Securities and Exchange Commission, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. 13.Cooperation after Termination. During the time that you are receiving payments under this Agreement, you agree to cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company, including, but not limited to, any present, prior or subsequent relationships and the orderly transfer of any such work and institutional knowledge to such other persons as may be designated by the Company, by making yourself reasonably available during regular business hours.",4,"- only applies to employee, can disclose to immediate family (not in confidence), includes EEOC carve out, doesn't include employees of company and includes additional restrictions re disparaging company"
Verrica,"Confidentiality. The provisions of this Agreement will be held in strictest confidence by you and will not be publicized or disclosed in any manner whatsoever; provided, however, that: (a) you may disclose this Agreement to your immediate family; (b) you may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor; and (c) you may disclose this Agreement insofar as such disclosure may be required by law. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to discuss your employment with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. 8.Non-Disparagement. You and the Company agree not to disparage each other, and the other's attorneys, directors, managers, partners, employees, agents and affiliates, in any manner likely to be harmful to them or their business, business reputation or personal reputation; provided that you and the Company will respond accurately and fully to any question, inquiry or request for information when required by legal process. For purposes of this Section 8, the obligations of the Company shall apply only to the senior management team and the members of the Board of Directors. Notwithstanding the foregoing, nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, other federal government agency or similar state or local agency or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act. B-3 9.No Admission. This Agreement does not constitute an admission by you or by the Company of any wrongful action or violation of any federal, state, or local statute, or common law rights, including those relating to the provisions of any law or statute concerning employment actions, or of any other possible or claimed violation of law or rights.",5,Doesn't apply to disclosure to employees of Company
