Doc,Clause,Rank,Notes
Bakhu Holdings,"Publicity. Subject to the Employee's advance approval (which shall not be unreasonably withheld), the Company and its agents, representatives and licensees may use the Employee's name, voice, likeness, image, appearance, and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during the Employment Term, for all legitimate commercial and business purposes of the Company and without further consent from or royalty, payment, or other compensation to the Employee. 0 16.Governing Law: Jurisdiction and Venue. At all times subject to Sections 12 and 13 of this Agreement, and the Mutual Agreement to Arbitrate, this Agreement, for all purposes, shall be construed in accordance with the laws of the State of California, without regard to conflicts of law principles that would require the application of the laws of another jurisdiction. Any action or proceeding by either of the parties to enforce this Agreement shall be brought only in a state or federal court located in Los Angeles County, California. The parties hereby irrevocably submit to the exclusive jurisdiction of such courts and waive the defense of inconvenient forum to the maintenance of any such action or proceeding in such venue. ",9,"- needs to be subject to Employee's advance approval
- only during Employment Term (reference clause includes after employment)
- doesn't discharge company from claims"
OncBioMune,"Publicity. Employer hereby agrees to use commercially reasonable efforts to obtain the consent of Employee (which consent will not be unreasonably withheld) prior to any and all uses and displays, by the Employer and its agents, of the Employee's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during or after the period of her employment by the Employer, for all legitimate business purposes of the Employer (""Permitted Uses""). Upon receipt of his, her or its consent to any Permitted Use, Employee hereby forever releases the Employer and its directors, officers, employees and agents from any and all claims, actions, damages, losses, costs, expenses and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the period of her employment by the Employer, in connection with any Permitted Use.",8,"- needs employees consent
- applies during and after employment
- includes similar release"
Quantum Materials,"Publicity. The Executive hereby consents to any and all uses and displays, by the Company and its agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during his employment by the Company, for all legitimate commercial and business purposes of the Company (""Permitted Uses"") without further consent from or royalty, payment or other compensation to the Executive. For any legitimate commercial or business purposes after the employment of the Executive, the Company must get prior written approval to use the Executive's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world. 14 14. Governing Law: Jurisdiction and Venue. This Agreement, for all purposes, shall be construed in accordance with the laws of Texas without regard to conflicts of law principles. Any action or proceeding by either of the Parties to enforce this Agreement shall be brought only in a state or federal court located in the state of Texas, county of Harris. The Parties hereby irrevocably submit to the exclusive jurisdiction of such courts and waive the defense of inconvenient forum to the maintenance of any such action or proceeding in such venue.",6,"- Employee consents (but doesn't irrevocably and absolutely consent)
- only applies to during Employment (not after like reference clause) (after they need permission)
- no release"
5 from C,"Publicity. During the Term, the Executive hereby consents to any and all reasonable and customary uses and displays, by the Company, the Bank and their agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during the period of the Executive's employment with the Company and the Bank, for all legitimate commercial and business purposes of the Company and the Bank, without royalty, payment or other compensation to Executive. ",7,"- only applies during employment (and during term)
- employee consents (not irrevocably and absolutely)
- no release"
Medizone,"Publicity. During the Employment Term, Executive hereby consents to any and all reasonable and customary uses and displays, by Company and its agents, representatives and licensees, of Executive's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during the period of Executive's employment by Company, for all legitimate commercial and business purposes of Company (""Permitted Uses""), without royalty, payment or other compensation to Executive.",7,"- only during employment term
- employee consents (not irrevocably and absolutely)
- no release"
Singing Machine,"Publicity. The Executive hereby irrevocably consents to any and all uses and displays, by the Company and its agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance, and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during or after the Employment Term, for all legitimate commercial and business purposes of the Company (""Permitted Uses"") without further consent from or royalty, payment, or other compensation to the Executive. The Executive hereby forever waives and releases the Company and its directors, officers, employees, and agents from any and all claims, actions, damages, losses, costs, expenses, and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the Employment Term, arising directly or indirectly from the Company and its agents', representatives', and licensees' exercise of their rights in connection with any Permitted Uses. 19 13. Governing Law: Jurisdiction and Venue. This Agreement, for all purposes, shall be construed in accordance with the laws of Florida without regard to conflicts of law principles. Any action or proceeding by either of the parties to enforce this Agreement shall be brought only in a state or federal court located in the state of Broward, County. The parties hereby irrevocably submit to the exclusive jurisdiction of such courts and waive the defense of inconvenient forum to the maintenance of any such action or proceeding in such venue.",2,"- irrevocably consent
- list similar to reference clause
- covers Company's agents, representatives and licenses (not Company and affiliates like reference clause)
- during or after employment term
- contains a release"
Dynatronics,"Publicity. Employee hereby consents to any and all uses and displays, by the Company and its agents, of the Employee's name, voice, likeness, image, appearance, and biographical information in, on or in connection with any pictures, photographs, audio, and video recordings, digital images, websites, television programs, and advertising, other advertising, sales, and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during or after the period of his employment by the Company, for all legitimate business purposes of the Company (""Permitted Uses""). Employee hereby forever releases the Company and its directors, officers, employees, and agents from any and all claims, actions, damages, losses, costs, expenses, and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the period of his employment by the Company, in connection with any Permitted Use. ",4,"- consent
- during or after employmnet
- includes a release"
Seventy Seven Energy,"Publicity. The Executive hereby irrevocably consents to any and all uses and displays, by the Company Group and its agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during or after the period of his employment by the Company, for all legitimate commercial and business purposes of the Company Group (""Permitted Uses"") without further consent from or royalty, payment or other compensation to the Executive. The Executive hereby forever waives and releases the Company Group and its directors, officers, employees and agents from any and all claims, actions, damages, losses, costs, expenses and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the period of his employment by the Company, arising directly or indirectly from the Company Group's and its agents', representatives' and licensees' exercise of their rights in connection with any Permitted Uses. 13 15. Governing Law. This Agreement, for all purposes, shall be construed in accordance with the laws of the State of Delaware without regard to conflicts of law principles; provided, however, that any provisions relating to equity compensation shall also be subject to any federal or state securities laws that may be applicable and the rules of any stock exchange on which the relevant equity is listed for trading.",2,"- irrevocable consent
- list similar to reference clause
- includes agents, representatives and licenses
- during or after employment
- includes a release"
IQVIA,"Publicity. Executive hereby irrevocably consents to any and all uses and displays, by the Company and its agents, representatives and licensees, of Executive's name, voice, likeness, image, appearance and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during or after the period of his employment by the Company, for all legitimate commercial and business purposes of the Company without further consent from or royalty, payment or other compensation to Executive.",5,"- irrevocable consent 
- during or after employment
- no release"
iGambit,"Publicity. The Executive hereby irrevocably consents to any and all uses and displays, by the Company and its' affiliates and its agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance, and biographical information in, on or in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during or after the Employment Term, for all legitimate commercial and business purposes of the Company and its' affiliates (""Permitted Uses"") without further consent from or royalty, payment, or other compensation to the Executive. The Executive hereby forever waives and releases the Company and its' affiliates and its directors, officers, employees, and agents from any and all claims, actions, damages, losses, costs, expenses, and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the Employment Term, arising directly or indirectly from the Company and its' affiliates' and its agents', representatives', and licensees' exercise of their rights in connection with any Permitted Uses",1,"- irrevocable consent
- includes Company and its affiliates and its agents, representatives and licenses (only one this close to include affiliates like reference clause)
- during or after employment
- includes a release"
