Doc,Clause,Rank,Notes
Alector,"Termination of Employment. Upon a Participant's ceasing to be an Eligible Employee, for any reason, he or she will be deemed to have elected to withdraw from the Plan and the Contributions credited to such Participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan will be returned to such Participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15, and such Participant's option will be automatically terminated. Unless otherwise provided by the Administrator, a Participant whose employment transfers between entities through a termination with an immediate rehire (with no break in service) by the Company or a Designated Company will not be treated as terminated under the Plan; however, if a Participant transfers from an Offering under the 423 Component to the Non-423 Component, the exercise of the option will be qualified under the 423 Component only to the extent it complies with Section 423 of the Code, unless otherwise provided by the Administrator. ",6,
Clovis Oncology,"Termination of Employment. Upon a Participant's ceasing to be an Eligible Employee, for any reason, such Participant shall be deemed to have elected to withdraw from the Plan, and the payroll deductions credited to such Participant's account during the Offering Period, plus any balance retained in his account from a prior Offering - 5 - Period, if any, shall be paid to him, or in the case of his death, to the person or persons entitled thereto under Section 15 hereof, as soon as reasonably practicable, and such Participant's option for the Offering Period shall be automatically terminated. ",4,- only difference is it includes any balance in account from a prior Offering
Arena,"Termination of Employment. Upon a participant's ceasing to be an Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period but not yet used to exercise the option shall be returned to such participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15 hereof, and such participant's option shall be automatically terminated. 6 12. Interest. No interest shall accrue on the payroll deductions of a participant in the Plan.",1,
Cytokinetics,"Termination of Employment. Upon a participant's ceasing to be an Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to such participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15, and such participant's option shall be automatically terminated. The preceding sentence notwithstanding, a participant who receives payment in lieu of notice of termination of employment shall be treated as continuing to be an Employee for the participant's customary number of hours per week of employment during the period in which the participant is subject to such payment in lieu of notice.",5,
2 from 2,"Termination of Employment. Upon a participant's ceasing to be an Eligible Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period shall be paid to such participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15 hereof, as soon as reasonably practicable and such participant's option for the Offering Period shall be automatically terminated.",7,"- returned as soon as reasonably practicable
- no provision about participants death"
Ari Network,"Termination of Employment. Upon a participant's ceasing to be an Employee of the Company for any reason (including without limitation upon death, disability or retirement), he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period but not yet used to exercise the option shall be returned to such participant or, in the case of his or her death, to the 4 person or persons entitled thereto under Section 15 hereof, and such participant's option shall be automatically terminated.",3,
Netgear,"Termination of Employment. Upon a participant ceasing to be an Eligible Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period but not yet used to purchase shares of -7- Common Stock under the Plan shall be returned to such participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15 hereof, and such participant's option shall be automatically terminated. ",1,
Lantronix,"Termination of Employment. Upon a participant's ceasing to be an Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period but not yet used to exercise the option shall be promptly returned to such participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15 hereof, and such participant's option shall be automatically terminated.",1,
3 from Arlo,"Termination of Employment. Upon a participant ceasing to be an Eligible Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions credited to such participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to such participant or, in the case of his or her death, to the person or persons entitled thereto under Section 15 hereof, and such participant's option shall be automatically terminated.",1,
Dolby,"Termination of Employment. Upon a participant's ceasing to be an Eligible Employee, for any reason, he or she shall be deemed to have elected to withdraw from the Plan and the payroll deductions or contributions credited to such participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to such participant or, in the case of his or her death, to the administrator of his or her estate, and such participant's option shall be automatically terminated.",2,
