2 from Sanchez,"[""All agreements and obligations of the Company contained in this document shall continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties to this Agreement and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.""]"
TTM,"[""All agreements and obligations of the Company contained in this document shall continue during the period Indemnitee is an officer or director of the Company."", ""All agreements and obligations of the Company contained in this document shall continue during the period Indemnitee is or was serving at the request of the Company as a director, officer, employee, or agent of another corporation, partnership, joint venture, trust or other enterprise."", ""All agreements and obligations of the Company contained in this document shall continue after the period described above so long as Indemnitee shall be subject to any Proceeding (or any proceeding commenced under Section 7 of this document) by reason of Indemnitee's Corporate Status, whether or not Indemnitee is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement.""]"
Inseego,"[""All agreements and obligations of the Company contained in this agreement shall continue until the date that is six (6) years after the date upon which Indemnitee's Corporate Status terminates, or longer if any applicable statute of limitation is tolled."", ""All agreements and obligations of the Company shall continue thereafter so long as Indemnitee is subject to any Proceeding (or any proceeding commenced under Section 7 of this agreement) by reason of his Corporate Status, whether or not he is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties to the agreement and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.""]"
Entellus,"[""All agreements and obligations of the Company contained in this Agreement shall continue until the date that is six (6) years after the date upon which Indemnitee's Corporate Status terminates."", ""All agreements and obligations of the Company contained in this Agreement shall continue thereafter so long as Indemnitee shall be subject to any Proceeding (or any proceeding commenced under Section 7 of this Agreement) by reason of his or her Corporate Status, whether or not he or she is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties to the Agreement and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.""]"
Opgen,"[""All agreements and obligations of the Company contained herein shall continue during the period Indemnitee is an officer or director of the Company or is or was serving at the request of the Company as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise."", ""All agreements and obligations of the Company contained herein shall continue thereafter until and terminate upon the later of: (a) ten (10) years after the date that Indemnitee shall have ceased to serve as a director of the Company or (b) one (1) year after the final termination of any Proceeding (or any proceeding commenced under Section 7 hereof) then pending in respect of which Indemnitee is granted rights of indemnification or advancement of Expenses hereunder."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties hereto and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives."", ""To the extent requested by Indemnitee and approved by the Board of Directors of the Company, the Company may at any time and from time to time provide security to Indemnitee for the Company's obligations hereunder through an irrevocable bank line of credit, funded trust or other collateral."", ""Any such security, once provided to Indemnitee, may not be revoked or released without the prior written consent of the Indemnitee.""]"
Gulfport,"[""All agreements and obligations of the Company contained in this Agreement shall continue for so long as Indemnitee may have any liability or potential liability by virtue of serving as an officer or director of the Company or serving at the request of the Company as a director, officer, employee or agent of another entity."", ""All agreements and obligations of the Company contained in this Agreement shall continue thereafter so long as Indemnitee shall be subject to any Proceeding or any proceeding commenced under Section 8 by reason of Indemnitee's Corporate Status, whether or not Indemnitee is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties and their respective successors, assigns, spouses, heirs, executors, and personal and legal representatives."", ""The Company shall require and cause any successor (whether direct or indirect by purchase, merger, consolidation or otherwise) to all, substantially all or a substantial part of the business or assets of the Company, by written agreement, expressly to assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform if no such succession had taken place.""]"
Gi Dynamics,"[""All agreements and obligations of the Company contained in this Agreement shall continue during the period Indemnitee is an officer or director of the Company or is or was serving at the request of the Company as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise."", ""All agreements and obligations of the Company contained in this Agreement shall continue after the Indemnitee ceases to serve in any such capacity, whether or not the Indemnitee is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties to the Agreement and their respective successors, assigns, spouses, heirs, executors and personal and legal representatives."", ""Successors include any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company."", ""To the extent requested by Indemnitee and approved by the Board, the Company may at any time and from time to time provide security to Indemnitee for the Company's obligations under the Agreement through an irrevocable bank line of credit, funded trust or other collateral."", ""Any security provided to Indemnitee may not be revoked or released without the prior written consent of the Indemnitee.""]"
Mammoth,"[""All agreements and obligations of the Company contained in this Agreement shall continue for so long as Indemnitee may have any liability or potential liability by virtue of serving as an officer or director of the Company or the Covered Entities."", ""All agreements and obligations of the Company contained in this Agreement shall continue thereafter so long as Indemnitee shall be subject to any Proceeding (or any proceeding commenced under Section 7) by reason of Indemnitee's Covered Status, whether or not Indemnitee is acting or serving in any such capacity at the time any liability or Expense is incurred for which indemnification can be provided under this Agreement."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties to the Agreement and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.""]"
Earthstone,"[""All agreements and obligations of the Company contained in this Agreement shall continue during the period Indemnitee is an officer or director of the Company or is or was serving at the request of the Company as a director, officer, employee or agent of another Person."", ""All agreements and obligations of the Company contained in this Agreement shall continue thereafter so long as Indemnitee is, or may be made, the subject to any Proceeding (or any proceeding commenced under Section 7) by reason of his or her Corporate Status, regardless of whether he or she is acting or serving in any such capacity at the time any liability or Expense is incurred for which indemnification can be provided under this Agreement."", ""This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties and their respective successors (including any direct or indirect successor by purchase, merger, consolidation, reorganization, or otherwise to all or a majority of the business, assets or income or revenue generating capacity of the Company), assigns, spouses, heirs, executors, and personal and legal representatives.""]"
Angel Pond,"[""All agreements and obligations of the Company contained in this Agreement shall continue during the period Indemnitee serves or has served as an employee, agent, director or officer of the Company, including serving the Company at the direction of Angel Pond Partners LLC pursuant to the Administrative Services Agreement dated as of January 26, 2021 with the Company."", ""All agreements and obligations of the Company contained in this Agreement shall continue during the period Indemnitee serves or has served as a director, officer, trustee, partner, manager, managing member, fiduciary, employee or agent of any other company, partnership, joint venture, trust, employee benefit plan or other Enterprise which Indemnitee serves at the request of the Company."", ""All agreements and obligations of the Company contained in this Agreement shall continue thereafter so long as Indemnitee shall be subject to any possible Proceeding (including any rights of appeal thereto and any Proceeding commenced by Indemnitee pursuant to Section 14 of this Agreement) by reason of Indemnitee's Corporate Status, whether or not Indemnitee is acting in any such capacity at the time any liability or expense is incurred for which indemnification or advancement can be provided under this Agreement.""]"
