Vistas,"[""The Company shall indemnify the Advisor and its affiliates and directors, officers, employees, shareholders, representatives, and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""The Advisor acknowledges that the Company has established a trust account (the \""Trust Account\"") containing the proceeds of the IPO and from certain private placements occurring simultaneously with the IPO (including interest accrued thereon) for the benefit of the Company's public shareholders and certain other parties."", ""The Advisor agrees that it does not now and shall not at any time hereafter have any right, title, interest or claim of any kind in or to any assets held in the Trust Account as a result of entering into this Agreement."", ""The Advisor shall not make any claim against the Trust Account as a result of entering into this Agreement, regardless of whether such claim arises based on contract, tort, equity or any other theory of legal liability."", ""The Advisor irrevocably waives any Released Claims that it may have against the Trust Account now or in the future as a result of, or arising out of, any of the Services provided to the Company under this Agreement."", ""The Advisor will not seek recourse against the Trust Account with respect to any Released Claims.""]"
Distoken,"[""The Company shall indemnify the Advisor and its affiliates and their respective directors, officers, employees, shareholders, representatives and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""If there is no Closing, the Advisor agrees that it does not have any right, title, interest or claim of any kind in or to any monies in the Company's trust account established in connection with the IPO with respect to this Agreement."", ""If there is no Closing, the Advisor agrees to waive any claim it may have in the future as a result of, or arising out of, any services provided to the Company under this Agreement."", ""If there is no Closing, the Advisor agrees to not seek recourse against the Trust Account with respect to the Fee.""]"
Global Blockchain,"[""The Company shall indemnify each Advisor and its affiliates and its and their respective directors, officers, employees, stockholders, representatives and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""The provisions of Section 5 and Annex I shall not be affected by any contrary provision in the Agreement, any election under the Agreement, any termination of the Agreement, or any failure to carry out the terms of the Agreement or any part thereof."", ""Each Advisor agrees that if there is no Closing, it does not have any right, title, interest or claim of any kind in or to any monies in the Company's trust account established in connection with the IPO with respect to the indemnity."", ""Each Advisor agrees to waive any Claim it may have in the future with respect to the Company's trust account in connection with the indemnity."", ""Each Advisor agrees to not seek recourse against the Trust Account with respect to any Claim in connection with the indemnity."", ""Neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee, representative or agent thereof shall quote or refer to the Advisor's name or any advice rendered by the Advisor to the Company or any communication from the Advisor in connection with performance of their services hereunder without such Advisor's prior written consent, except as required by applicable federal or state law, regulation or securities exchange rule."", ""Each Advisor consents to the use of such Advisor's name and a description of this Agreement, including a general description of the services to be provided by each such Advisor and the Transaction Fee, in the Registration Statement and the preliminary and final prospectus included as a part of the Registration Statement, the Company's registration statement filed pursuant to the Securities Exchange Act of 1934, as amended, the Company's current reports on Form 8-K filed in connection with the IPO, the Company's periodic reports on Forms 10-K and 10-Q, and any proxy statement, prospectus, or tender offer materials prepared by or on behalf of the Company in connection with the Business Combination.""]"
6 from 3,"[""The Company shall indemnify the Advisor and its affiliates and directors, officers, employees, shareholders, representatives, and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""The Advisor acknowledges that the Company has established a trust account containing the proceeds of the IPO and from certain private placements for the benefit of the Company's public stockholders and certain other parties."", ""The Advisor agrees that it does not now and shall not at any time hereafter have any right, title, interest or claim of any kind in or to any assets held in the Trust Account as a result of entering into this Agreement."", ""The Advisor shall not make any claim against the Trust Account as a result of entering into this Agreement, regardless of whether such claim arises based on contract, tort, equity or any other theory of legal liability."", ""The Advisor irrevocably waives any Released Claims that it may have against the Trust Account now or in the future as a result of, or arising out of, any of the Services provided to the Company under this Agreement."", ""The Advisor will not seek recourse against the Trust Account with respect to any Released Claims."", ""Neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee, or agent thereof shall quote or refer to the Advisor's name or any advice rendered by the Advisor to the Company or any communication from the Advisor in connection with performance of the Services without the Advisor's prior written consent, except as required by applicable federal or state law, regulation, or securities exchange rule.""]"
8 from 3,"[""The Company shall indemnify the Advisor and its affiliates and directors, officers, employees, shareholders, representatives, and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""The Advisor acknowledges that the Company has established a trust account containing the proceeds of the IPO and from certain private placements for the benefit of the Company's public shareholders and certain other parties."", ""The Advisor agrees that it does not now and shall not at any time hereafter have any right, title, interest or claim of any kind in or to any assets held in the Trust Account as a result of entering into this Agreement."", ""The Advisor shall not make any claim against the Trust Account as a result of entering into this Agreement, regardless of whether such claim arises based on contract, tort, equity or any other theory of legal liability."", ""The Advisor irrevocably waives any Released Claims that it may have against the Trust Account now or in the future as a result of, or arising out of, any of the Services provided to the Company under this Agreement."", ""The Advisor will not seek recourse against the Trust Account with respect to any Released Claims."", ""Neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee, or agent thereof shall quote or refer to the Advisor's name or any advice rendered by the Advisor to the Company or any communication from the Advisor in connection with performance of the Services without the Advisor's prior written consent, except as required by applicable federal or state law, regulation, or securities exchange rule.""]"
3 from 2 (1),"[""The Company shall indemnify the Advisor and its affiliates and directors, officers, employees, shareholders, representatives, and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""The Advisor acknowledges that the Company has established a trust account (the \""Trust Account\"") containing the proceeds of the IPO and from certain private placements occurring simultaneously with the IPO (including interest accrued thereon) for the benefit of the Company's public stockholders and certain other parties (including the underwriters of the IPO)."", ""The Advisor agrees that it does not now and shall not at any time hereafter have any right, title, interest or claim of any kind in or to any assets held in the Trust Account as a result of entering into this Agreement."", ""The Advisor shall not make any claim against the Trust Account as a result of entering into this Agreement, regardless of whether such claim arises based on contract, tort, equity or any other theory of legal liability."", ""The Advisor irrevocably waives any Released Claims that it may have against the Trust Account now or in the future as a result of, or arising out of, any of the Services provided to the Company under this Agreement."", ""The Advisor will not seek recourse against the Trust Account with respect to any Released Claims.""]"
Northview,"[""The Company shall indemnify the Advisors and their affiliates and its and their respective directors, officers, employees, shareholders, representatives and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""If there is no Closing, the Advisors agree that they do not have any right, title, interest or claim of any kind in or to any monies in the Company's trust account established in connection with the IPO with respect to the indemnity."", ""If there is no Closing, the Advisors agree to waive any claim they may have in the future with respect to the indemnity and the trust account."", ""If there is no Closing, the Advisors agree not to seek recourse against the trust account with respect to any claim related to the indemnity."", ""Without the Advisors' prior written consent, neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee, representative or agent thereof shall quote or refer to the Advisors' name or any advice rendered by the Advisors to the Company or any communication from the Advisors in connection with performance of their services, except as required by applicable federal or state law, regulation or securities exchange rule."", ""The Advisors consent to the use of the Advisors' name and a description of this Agreement, including a general description of the services to be provided by the Advisors and the Fee, in the Registration Statement and the preliminary and final prospectus included as a part of the Registration Statement, the Company's registration statement filed pursuant to the Securities Exchange Act of 1934, as amended, the Company's current reports on Form 8-K filed in connection with the IPO, the Company's periodic reports on Forms 10-K and 10-Q, and any proxy statement, prospectus, or tender offer materials prepared by or on behalf of the Company in connection with the Business Combination.""]"
Sportsmap,"[""The Company shall indemnify the Advisor and its affiliates and directors, officers, employees, shareholders, representatives, and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""The Advisor acknowledges that the Company has established a trust account containing the proceeds of the IPO and certain private placements for the benefit of the Company's public shareholders and certain other parties."", ""The Advisor agrees that if there is no Closing, it does not have any right, title, interest, or claim of any kind in or to any monies in the Trust Account with respect to this Agreement."", ""The Advisor waives any claim it may have in the future as a result of, or arising out of, any services provided to the Company under this Agreement, with respect to the Trust Account."", ""The Advisor agrees not to seek recourse against the Trust Account with respect to the Fee."", ""Without the Advisor's prior written consent, neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee, or agent thereof shall quote or refer to the Advisor's name or any advice rendered by the Advisor to the Company or any communication from the Advisor in connection with performance of the Services, except as required by applicable federal or state law, regulation, or securities exchange rule."", ""If disclosure of the Advisor's name, advice, or communication is required by applicable law, regulation, or securities exchange rule, the Company shall provide the Advisor with a draft of such disclosure prior to it being made so that the Advisor shall have a reasonable opportunity to comment on such disclosure.""]"
Atlantic Street,"[""The Company shall indemnify each Advisor and its respective affiliates and directors, officers, employees, shareholders, representatives and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""Each Advisor agrees that if there is no Closing, it does not have any right, title, interest or claim of any kind in or to any monies in the Company's trust account established in connection with the IPO with respect to the Fee or any expenses provided for hereunder."", ""Each Advisor agrees to waive any Claim it may have in the future as a result of, or arising out of, any Services provided to the Company hereunder if there is no Closing."", ""Each Advisor agrees to not seek recourse against the Trust Account with respect to the Fee or any expenses provided for hereunder if there is no Closing."", ""Neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee or agent thereof shall quote or refer to the Advisor's name or any advice rendered by the Advisor to the Company or any communication from the Advisor in connection with performance of the Services hereunder without such Advisor's prior written consent (which may be provided via email), except as required by applicable federal or state law, regulation or securities exchange rule.""]"
2 from 2,"[""The Company shall indemnify the Advisor and its affiliates and their respective directors, officers, employees, shareholders, representatives and agents in accordance with the indemnification provisions set forth in Annex I, which are incorporated by reference."", ""If there is no Closing, the Advisor does not have any right, title, interest or claim of any kind in or to any monies in the Company's trust account established in connection with the IPO with respect to this Agreement."", ""If there is no Closing, the Advisor waives any claim it may have in the future as a result of, or arising out of, any services provided to the Company under this Agreement."", ""If there is no Closing, the Advisor will not seek recourse against the Trust Account with respect to the Fee."", ""Neither the Company nor any of its affiliates nor any director, officer, manager, partner, member, employee, representative or agent thereof shall quote or refer to, in any filings with the Securities and Exchange Commission, any advice rendered by the Advisor to the Company or any communication from the Advisor in connection with performance of the Advisor's services under this Agreement, without the Advisor's prior written consent, which shall not be unreasonably withheld, conditioned or delayed, except as required by applicable federal or state law, regulation or securities exchange rule.""]"
