Immunomedics 2,"[""During Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment, Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to the research, development, testing, manufacture, sale, marketing, or licensing of the same, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company or other commercial enterprise, or in any other capacity."", ""The prohibition on competition does not prevent Executive's employment or engagement after termination of employment by any company or business organization, as long as the activities of such employment or engagement, in any capacity, do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", ""Executive is permitted to own securities of a public company not in excess of five percent (5%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
Immunomedics,"[""Executive will not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in the United States or Canada which competes with the Employer in the field of therapeutic antibodies for cancer while employed at the Employer and for a period of two years after termination of employment for any reason."", ""Executive will not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in the United States or Canada which competes with the Employer in the field of therapeutic antibodies for cancer as a partner, officer, director, consultant, agent, employee or stockholder of any company or other commercial enterprise while employed at the Employer and for a period of two years after termination of employment for any reason."", ""Executive's employment or engagement after termination of employment by any company or business organization is not prevented, as long as the activities of such employment or engagement, in any capacity, do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer during Executive's employment with the Employer."", ""Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Employer.""]"
1 Deerfield,"[""During Executive's employment with the Company or any Company subsidiary or controlled affiliate and for a period of twenty-four (24) months after termination of Executive's employment, Executive shall not, without the prior written approval of the Board, directly or indirectly engage in the business of providing professional medical services in a primary care clinic setting, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity."", ""The prohibition on engaging in the business of providing professional medical services in a primary care clinic setting does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", ""Executive is permitted to own securities of a public company not in excess of five percent (5%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company."", ""Executive is permitted to own stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
Immunomedics 3,"[""During Executive's employment with the Company and for a period of twelve (12) months after termination of Executive's employment, Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity anywhere in the world that directly or indirectly relates to the research, development, testing, manufacture, sale, marketing, or licensing of Therapeutic Agents that would operate via the same target or antigen or would address the same primary patient population(s) as Therapeutic Agents that Executive is engaged in researching and developing."", ""The restricted Business includes only the following Targets: Trop-2, CEACAM5, and HLA DR."", ""The prohibition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the Business as defined."", ""Executive is permitted to own securities of a public company not in excess of five percent (5%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
Zeta Global,"[""During the Employment Period and for twelve (12) months after termination of Executive's employment, Executive will not, without prior disclosure to the Board, engage in any business or activity anywhere in the world that competes with the Company in the business of building and offering digital marketing data management technology to large business to consumer enterprises, whether alone or as a partner, officer, director, consultant, agent, employee or stockholder of any company or other commercial enterprise."", ""The prohibition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the products being developed, manufactured, or marketed by the Company during Executive's employment with the Company."", ""The prohibition does not prevent Executive from engaging in Permitted Outside Activities."", ""Executive is not prevented from owning securities of a public company not in excess of five percent (5%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company."", ""Executive is not prevented from owning stock, partnership interests, or other securities of any entity not in excess of five percent (5%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
Tilray,"[""During Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment, Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity."", ""The prohibition on engaging in activities related to the Business does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", ""Executive is permitted to own securities of a public company not in excess of two percent (2%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of two percent (2%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
Tilray 2,"[""During Executive's employment with the Company, Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment, Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada."", ""The prohibition does not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", ""Executive is permitted to own securities of a public company not in excess of two percent (2%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of two percent (2%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
2 from Tilray,"[""During Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment, Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity."", ""The prohibition on engaging in activities related to the Business does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", ""Executive is permitted to own securities of a public company not in excess of two percent (2%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of two percent (2%) of any class of such securities, and such ownership shall not be considered to be in competition with the Company.""]"
Auxillium,"[""Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in any geographic place where the Company and or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment, during employment and for one year after termination."", ""Executive's employment or engagement after termination by any company or business organization is not prohibited as long as the activities do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment."", ""Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Employer."", ""While employed and for one year after termination, Executive shall not directly or indirectly solicit, entice or induce any customer to become a customer of any other person, firm or corporation with respect to products then sold or under development by the Employer or to cease doing business with the Employer."", ""While employed and for one year after termination, Executive shall not approach any customer for the purpose of soliciting, enticing, or inducing them to become a customer of any other person, firm or corporation with respect to products then sold or under development by the Employer or to cease doing business with the Employer."", ""While employed and for one year after termination, Executive shall not authorize or knowingly approve the taking of actions by any other person to solicit, entice, or induce any customer to become a customer of any other person, firm or corporation with respect to products then sold or under development by the Employer or to cease doing business with the Employer."", ""While employed and for one year after termination, Executive shall not directly or indirectly solicit or recruit any employee of the Employer to work for a third party other than the Employer, excluding newspaper or similar print or electronic solicitations of general circulation."", ""Section 7 does not apply to any general solicitation not focused to any group of customers itemized on a customer list of the Employer.""]"
Auxillium 2,"[""Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in any geographic place where the Company and/or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment, during employment and for one year after termination for any reason."", ""The prohibition on competition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities of such employment or engagement do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment."", ""Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Employer.""]"
Auxillium 3,"[""Executive shall not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in any geographic place where the Company and/or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment, during employment and for one year after termination for any reason."", ""Executive may be employed or engaged by any company or business organization after termination of employment, as long as the activities of such employment or engagement do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment."", ""Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Employer.""]"
