Esports Management,"[""The Executive agrees and covenants not to make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties at any time."", ""This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order."", ""The Executive shall promptly provide written notice of any such order to the Compliance Officer.""]"
Total System Services,"[""Team Member agrees not to make, publish, or communicate to any person or entity or in any public forum (including social media) at any time any defamatory or disparaging remarks, comments, or statements concerning any of the Company Group, or any of their respective directors, officers, and employees, except as otherwise provided in Section 10."", ""This Section does not restrict or impede Team Member from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede Team Member from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized Government Agency.""]"
3 from Total,"[""Team Member agrees not to make, publish, or communicate to any person or entity or in any public forum (including social media) at any time any defamatory or disparaging remarks, comments, or statements concerning any of the Company Group, or any of their respective directors, officers, and employees, except as otherwise provided in Section 11."", ""This Section does not restrict or impede Team Member from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede Team Member from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized Government Agency.""]"
CTI Industries,"[""The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, products, services, officers, directors, investors or affiliate companies."", ""This Section 9 does not restrict or impede the Executive from giving truthful testimony in court or administrative proceedings."", ""This Section 9 does not restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section 9 does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order."", ""The Executive shall promptly provide written notice of any such order to the Board."", ""The Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character."", ""The Executive acknowledges that he will obtain knowledge and skill relevant to the Company Fields, methods of doing business and marketing strategies by virtue of his employment."", ""The Executive acknowledges that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company."", ""The Executive acknowledges that the amount of his compensation reflects, in part, his obligations and the Company's rights under Section 7, Section 8 and Section 9 of this Agreement."", ""The Executive acknowledges that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith."", ""The Executive acknowledges that he will not be subject to undue hardship by reason of his full compliance with the terms and conditions of Section 7, Section 8 and Section 9 of this Agreement or the Company's enforcement thereof.""]"
Clearwater Analytics,"[""The Employee agrees not to make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company, its subsidiaries, affiliates or their respective businesses, or any of its employees, directors, managers, officers, and existing and prospective customers, suppliers, investors, lenders, representatives, agents and other associated third parties at any time."", ""The Company agrees not to issue any official statements or press releases defaming or disparaging the Employee."", ""The Company agrees to instruct all then-current members of the Employee Leadership team not to make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Employee."", ""This Section does not restrict or impede the Employee or the Company from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede the Employee or the Company from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order."", ""If applicable, the Employee shall promptly provide written notice of any such order to the Company's General Counsel."", ""If applicable, the Company shall promptly provide written notice of any such order to the Employee."", ""The Employee acknowledges and agrees that the services to be rendered by the Employee to the Company are of a special and unique character."", ""The Employee acknowledges that the Employee will obtain knowledge and skill relevant to the Company's industry, methods of doing business, and marketing strategies by virtue of the Employee's employment."", ""The Employee acknowledges that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company."", ""The Employee acknowledges that the amount of the Employee's compensation reflects, in part, the Employee's obligations and the Company's rights under Section 7, Section 8, and Section 9 of this Agreement."", ""The Employee acknowledges that he has no expectation of any additional compensation, royalties, or other payment of any kind not otherwise referenced in connection with this Agreement."", ""The Employee acknowledges that he will not be subject to undue hardship by reason of the Employee's full compliance with the terms and conditions of Section 7, Section 8, and Section 9 of this Agreement or the Company's enforcement thereof.""]"
Veru,"[""The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, or any of its employees, officers, directors, and existing and prospective customers, suppliers, investors and other associated third parties."", ""This Section 9 does not restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section 9 does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order."", ""The Executive shall promptly provide written notice of any such order to Company's EVP Legal."", ""The Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character."", ""The Executive acknowledges and agrees that he will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of his employment."", ""The Executive acknowledges and agrees that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interests of the Company."", ""The Executive acknowledges and agrees that the amount of his compensation reflects, in part, substantial consideration for his obligations and the Company's rights under Sections 7 through 9 of this Agreement."", ""The Executive acknowledges and agrees that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith."", ""The Executive acknowledges and agrees that he will not be subject to undue hardship by reason of his full compliance with the terms and conditions of Sections 7 through 9 of this Agreement or the Company's enforcement thereof.""]"
Union Bankshares,"[""You will not at any time during or after the Employment Period make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its business, or any of its directors, employees, customers, and other associated third parties, subject to the provision in Section 5(f) relating to communications to Regulators."", ""This Section does not restrict or impede you from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section does not restrict or impede you from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by law, regulation or order."", ""You shall promptly provide written notice of any such order to the Company."", ""The Company will cause its officers and directors to refrain from making, publishing or communicating, at any time during or after the Employment Period, to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning you."", ""During the Employment Period, you will be expected to maintain ownership of Company common stock in accordance with the guidelines established by the Board of Directors from time to time.""]"
Organicell,"[""The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties."", ""This Section 9 does not restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section 9 does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order."", ""The Executive shall promptly provide written notice of any such order to Chief Executive Officer of the Company."", ""The Company agrees and covenants that it shall cause its officers and directors to refrain from making any defamatory or disparaging remarks, comments or statements concerning the Executive to any third parties."", ""The Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character."", ""The Executive acknowledges that he will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of his employment."", ""The Executive acknowledges that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company."", ""The Executive acknowledges that the amount of his compensation reflects, in part, his obligations and the Company's rights under Section 7, Section 8 and Section 9 of this Agreement."", ""The Executive acknowledges that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith."", ""The Executive acknowledges that he will not be subject to undue hardship by reason of his full compliance with the terms and conditions of Section 7, Section 8 and Section 9 of this Agreement or the Company's enforcement thereof.""]"
5E Advanced,"[""The Executive agrees and covenants not to make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company Group or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors, and other associated third parties at any time."", ""This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order."", ""The Executive shall promptly provide written notice of any such order to the Company's SVP, General Counsel and Corporate Secretary."", ""The Company agrees and covenants that it shall direct its officers and directors to refrain from making any defamatory or disparaging remarks, comments, or statements concerning the Executive to any third parties."", ""The Executive acknowledges and agrees that the services to be rendered by the Executive to the Company are of a special and unique character."", ""The Executive acknowledges and agrees that the Executive will obtain knowledge and skill relevant to the Company's industry, methods of doing business, and marketing strategies by virtue of the Executive's employment."", ""The Executive acknowledges and agrees that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company Group."", ""The Executive acknowledges that the benefits provided to the Executive under this Agreement, including the amount of the Executive's compensation, reflect in part the Executive's obligations and the Company's rights under Section 7, Section 8, and Section 9 of this Agreement."", ""The Executive acknowledges that the Executive has no expectation of any additional compensation, royalties, or other payment of any kind not otherwise referenced in the Agreement in connection with the Agreement."", ""The Executive acknowledges that the Executive will not suffer undue hardship by reason of full compliance with the terms and conditions of Section 7, Section 8, and Section 9 of this Agreement or the Company's enforcement thereof.""]"
Ecoark,"[""Employee shall not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees or officers."", ""The Company and the Group promise and agree that they shall not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Employee."", ""This Section does not restrict or impede Employee from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section does not restrict or impede Employee from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency.""]"
Vapotherm,"[""The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, or any of its employees, officers, directors or its or their respective affiliates."", ""This Section does not restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order."", ""The Executive shall promptly provide written notice of any such order to the Chairman of the Board."", ""Nothing in this Agreement or any other agreement containing confidentiality provisions or other restrictive covenants in favor of the Company or its affiliates shall be construed to limit, restrict, or in any other way affect the Executive communicating with any governmental agency or entity, or communicating with any official or staff person of a governmental agency or entity, concerning matters relevant to the governmental agency or entity.""]"
SolarWindow,"[""The Executive shall not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory, or maliciously false, or disparaging remarks, comments, or statements concerning the Company Group or its businesses, or any of its employees, officers, or directors and other associated third parties, now or in the future."", ""This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order."", ""The Executive shall promptly provide written notice, as provided in Section 20, of any such order to the Company's Chief Executive Officer."", ""The Executive shall not disclose any of the negotiations of, terms of, or amount paid under this Agreement to any individual or entity."", ""The Executive will not be prohibited from making disclosures to the Executive's spouse or domestic partner, attorney, tax advisors, or as may be required by law."", ""This Section does not restrict or impede the Executive from disclosing the underlying facts or circumstances giving rise to the Executive's claim of discrimination."", ""This Section does not restrict or impede the Executive from initiating, testifying, assisting, complying with a subpoena from, or participating in any manner with an investigation conducted by a local, state, or federal agency."", ""This Section does not restrict or impede the Executive from filing or disclosing any facts necessary to receive unemployment insurance, Medicaid, or other public benefits."", ""This Section does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement."", ""This Section does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order."", ""The Executive shall promptly provide written notice, as provided in Section 20, of any such order to the Company's Chief Executive Officer."", ""This Section does not restrict or impede the Executive from speaking with law enforcement, the Equal Employment Opportunity Commission, any local commission on human rights, or an attorney retained by the Executive regarding factual information related to claims of discrimination occurring after the Effective Date of this Agreement.""]"
Blue Ridge,"[""You will not at any time during or after the Employment Period make, publish or communicate to any Person or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Bank, its Affiliates, or their business, or any of their directors, employees, customers, and other associated third parties."", ""This Section does not restrict or impede you from exercising protected rights to the extent that such rights cannot be waived by agreement."", ""This Section does not restrict or impede you from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by law, regulation or order."", ""You shall promptly provide written notice of any such order to the Bank.""]"
