The RealReal,"[""The Employee irrevocably and absolutely consents to any and all uses and displays, by the Company and its affiliates and agents, of the Employee's name, voice, likeness, image (including computer-generated images), appearance and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world at any time during and after the Employee's employment with the Company for all legitimate business purposes of the Company."", ""The Employee forever releases and discharges the Company and its directors, officers, employees, agents, assigns and designees from any and all claims, actions, damages, losses, costs, expenses, demands and liability of any kind arising under any legal or equitable theory whatsoever at any time during and after the Employee's employment with the Company in connection with any Permitted Use.""]"
Bakhu Holdings,"[""The Company and its agents, representatives, and licensees may use the Employee's name, voice, likeness, image, appearance, and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during the Employment Term, for all legitimate commercial and business purposes of the Company, subject to the Employee's advance approval (which shall not be unreasonably withheld), and without further consent from or royalty, payment, or other compensation to the Employee."", ""This Agreement shall be construed in accordance with the laws of the State of California, without regard to conflicts of law principles that would require the application of the laws of another jurisdiction, at all times subject to Sections 12 and 13 of this Agreement, and the Mutual Agreement to Arbitrate."", ""Any action or proceeding by either of the parties to enforce this Agreement shall be brought only in a state or federal court located in Los Angeles County, California."", ""The parties irrevocably submit to the exclusive jurisdiction of the state or federal courts located in Los Angeles County, California."", ""The parties waive the defense of inconvenient forum to the maintenance of any action or proceeding in such venue.""]"
OncBioMune,"[""Employer agrees to use commercially reasonable efforts to obtain the consent of Employee prior to any and all uses and displays, by the Employer and its agents, of the Employee's name, voice, likeness, image, appearance and biographical information in connection with the listed media and for all legitimate business purposes of the Employer."", ""Employee's consent to such use will not be unreasonably withheld."", ""Upon receipt of Employee's consent to any Permitted Use, Employee forever releases the Employer and its directors, officers, employees and agents from any and all claims, actions, damages, losses, costs, expenses and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the period of her employment by the Employer, in connection with any Permitted Use.""]"
Quantum Materials,"[""The Executive consents to any and all uses and displays, by the Company and its agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during his employment by the Company, for all legitimate commercial and business purposes of the Company, without further consent from or royalty, payment or other compensation to the Executive."", ""For any legitimate commercial or business purposes after the employment of the Executive, the Company must get prior written approval to use the Executive's name, voice, likeness, image, appearance and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world."", ""This Agreement shall be construed in accordance with the laws of Texas without regard to conflicts of law principles."", ""Any action or proceeding by either of the Parties to enforce this Agreement shall be brought only in a state or federal court located in the state of Texas, county of Harris."", ""The Parties irrevocably submit to the exclusive jurisdiction of the state or federal courts located in the state of Texas, county of Harris."", ""The Parties waive the defense of inconvenient forum to the maintenance of any such action or proceeding in such venue.""]"
5 from C,"[""During the Term, the Executive consents to any and all reasonable and customary uses and displays by the Company, the Bank, and their agents, representatives, and licensees of the Executive's name, voice, likeness, image, appearance, and biographical information."", ""The Company, the Bank, and their agents, representatives, and licensees may use and display the Executive's name, voice, likeness, image, appearance, and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world."", ""Such use and display may occur at any time during the period of the Executive's employment with the Company and the Bank."", ""Such use and display may be for all legitimate commercial and business purposes of the Company and the Bank."", ""The Executive is not entitled to royalty, payment, or other compensation for such use and display.""]"
Medizone,"[""Executive consents to any and all reasonable and customary uses and displays by Company and its agents, representatives, and licensees of Executive's name, voice, likeness, image, appearance, and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during the period of Executive's employment by Company, for all legitimate commercial and business purposes of Company, without royalty, payment, or other compensation to Executive.""]"
Singing Machine,"[""The Executive irrevocably consents to any and all uses and displays, by the Company and its agents, representatives, and licensees, of the Executive's name, voice, likeness, image, appearance, and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during or after the Employment Term, for all legitimate commercial and business purposes of the Company, without further consent from or royalty, payment, or other compensation to the Executive."", ""The Executive forever waives and releases the Company and its directors, officers, employees, and agents from any and all claims, actions, damages, losses, costs, expenses, and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the Employment Term, arising directly or indirectly from the Company and its agents', representatives', and licensees' exercise of their rights in connection with any Permitted Uses."", ""This Agreement shall be construed in accordance with the laws of Florida without regard to conflicts of law principles."", ""Any action or proceeding by either of the parties to enforce this Agreement shall be brought only in a state or federal court located in the state of Broward, County."", ""The parties irrevocably submit to the exclusive jurisdiction of the state or federal courts located in the state of Broward, County."", ""The parties waive the defense of inconvenient forum to the maintenance of any such action or proceeding in such venue.""]"
Dynatronics,"[""Employee consents to any and all uses and displays, by the Company and its agents, of the Employee's name, voice, likeness, image, appearance, and biographical information in connection with any pictures, photographs, audio, and video recordings, digital images, websites, television programs, advertising, other advertising, sales, and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media throughout the world, at any time during or after the period of his employment by the Company, for all legitimate business purposes of the Company (Permitted Uses)."", ""Employee forever releases the Company and its directors, officers, employees, and agents from any and all claims, actions, damages, losses, costs, expenses, and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the period of his employment by the Company, in connection with any Permitted Use.""]"
Seventy Seven Energy,"[""The Executive irrevocably consents to any and all uses and displays, by the Company Group and its agents, representatives and licensees, of the Executive's name, voice, likeness, image, appearance and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes and all other printed and electronic forms and media throughout the world, at any time during or after the period of his employment by the Company, for all legitimate commercial and business purposes of the Company Group, without further consent from or royalty, payment or other compensation to the Executive."", ""The Executive forever waives and releases the Company Group and its directors, officers, employees and agents from any and all claims, actions, damages, losses, costs, expenses and liability of any kind, arising under any legal or equitable theory whatsoever at any time during or after the period of his employment by the Company, arising directly or indirectly from the Company Group's and its agents', representatives' and licensees' exercise of their rights in connection with any Permitted Uses."", ""This Agreement, for all purposes, shall be construed in accordance with the laws of the State of Delaware without regard to conflicts of law principles."", ""Any provisions relating to equity compensation shall also be subject to any federal or state securities laws that may be applicable and the rules of any stock exchange on which the relevant equity is listed for trading.""]"
IQVIA,"[""Executive irrevocably consents to any and all uses and displays by the Company and its agents, representatives, and licensees of Executive's name, voice, likeness, image, appearance, and biographical information."", ""The Company and its agents, representatives, and licensees may use and display Executive's name, voice, likeness, image, appearance, and biographical information in connection with any pictures, photographs, audio and video recordings, digital images, websites, television programs and advertising, other advertising and publicity, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media."", ""The Company and its agents, representatives, and licensees may use and display Executive's name, voice, likeness, image, appearance, and biographical information throughout the world, at any time during or after the period of Executive's employment by the Company."", ""The Company and its agents, representatives, and licensees may use and display Executive's name, voice, likeness, image, appearance, and biographical information for all legitimate commercial and business purposes of the Company without further consent from Executive."", ""The Company and its agents, representatives, and licensees may use and display Executive's name, voice, likeness, image, appearance, and biographical information for all legitimate commercial and business purposes of the Company without royalty, payment, or other compensation to Executive.""]"
