3 from QuickLogic,"[""Upon a Participant's ceasing to be an Eligible Employee for any reason, the Participant shall be deemed to have elected to withdraw from the Plan."", ""Payroll deductions credited to the Participant's account during the Offering Period but not yet used to purchase shares under the Plan shall be returned to the Participant upon the Participant's ceasing to be an Eligible Employee."", ""In the case of the Participant's death, payroll deductions credited to the Participant's account during the Offering Period but not yet used to purchase shares under the Plan shall be returned to the person or persons entitled thereto under Section 15."", ""Upon the Participant's ceasing to be an Eligible Employee, the Participant's option shall be automatically terminated.""]"
Alector,"[""Upon a Participant's ceasing to be an Eligible Employee for any reason, the Participant will be deemed to have elected to withdraw from the Plan."", ""Upon a Participant's ceasing to be an Eligible Employee for any reason, Contributions credited to the Participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan will be returned to the Participant."", ""In the case of the Participant's death, Contributions credited to the Participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan will be returned to the person or persons entitled thereto under Section 15."", ""Upon a Participant's ceasing to be an Eligible Employee for any reason, the Participant's option will be automatically terminated."", ""Unless otherwise provided by the Administrator, a Participant whose employment transfers between entities through a termination with an immediate rehire (with no break in service) by the Company or a Designated Company will not be treated as terminated under the Plan."", ""If a Participant transfers from an Offering under the 423 Component to the Non-423 Component, the exercise of the option will be qualified under the 423 Component only to the extent it complies with Section 423 of the Code, unless otherwise provided by the Administrator."", ""The Administrator may otherwise provide with respect to whether a Participant described as having a termination with an immediate rehire (with no break in service) by the Company or a Designated Company will be treated as terminated under the Plan."", ""The Administrator may otherwise provide with respect to the extent to which, if a Participant transfers from an Offering under the 423 Component to the Non-423 Component, the exercise of the option will be qualified under the 423 Component.""]"
Clovis Oncology,"[""Upon a Participant's ceasing to be an Eligible Employee for any reason, the Participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a Participant's ceasing to be an Eligible Employee for any reason, the payroll deductions credited to the Participant's account during the Offering Period shall be paid to the Participant as soon as reasonably practicable."", ""Upon a Participant's ceasing to be an Eligible Employee for any reason, any balance retained in the Participant's account from a prior Offering Period, if any, shall be paid to the Participant as soon as reasonably practicable."", ""If the Participant has died, the payroll deductions credited to the Participant's account during the Offering Period shall be paid to the person or persons entitled thereto under Section 15 as soon as reasonably practicable."", ""If the Participant has died, any balance retained in the Participant's account from a prior Offering Period, if any, shall be paid to the person or persons entitled thereto under Section 15 as soon as reasonably practicable."", ""Upon a Participant's ceasing to be an Eligible Employee for any reason, the Participant's option for the Offering Period shall be automatically terminated.""]"
Arena,"[""Upon a participant's ceasing to be an Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a participant's ceasing to be an Employee for any reason, the payroll deductions credited to the participant's account during the Offering Period but not yet used to exercise the option shall be returned to the participant."", ""If the participant has died, upon the participant's ceasing to be an Employee, the payroll deductions credited to the participant's account during the Offering Period but not yet used to exercise the option shall be returned to the person or persons entitled thereto under Section 15."", ""Upon a participant's ceasing to be an Employee for any reason, the participant's option shall be automatically terminated."", ""No interest shall accrue on the payroll deductions of a participant in the Plan.""]"
2 from 2,"[""Upon a participant ceasing to be an Eligible Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a participant ceasing to be an Eligible Employee for any reason, the payroll deductions credited to the participant's account during the Offering Period shall be paid to the participant as soon as reasonably practicable."", ""If the participant has died, upon the participant ceasing to be an Eligible Employee, the payroll deductions credited to the participant's account during the Offering Period shall be paid to the person or persons entitled thereto under Section 15 as soon as reasonably practicable."", ""Upon a participant ceasing to be an Eligible Employee for any reason, the participant's option for the Offering Period shall be automatically terminated.""]"
Ari Network,"[""Upon a participant's ceasing to be an Employee of the Company for any reason (including without limitation upon death, disability or retirement), the participant shall be deemed to have elected to withdraw from the Plan."", ""The payroll deductions credited to a participant's account during the Offering Period but not yet used to exercise the option shall be returned to the participant."", ""In the case of the participant's death, the payroll deductions credited to the participant's account during the Offering Period but not yet used to exercise the option shall be returned to the person or persons entitled thereto under Section 15."", ""Upon a participant's ceasing to be an Employee of the Company for any reason, the participant's option shall be automatically terminated.""]"
Netgear,"[""Upon a participant ceasing to be an Eligible Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a participant ceasing to be an Eligible Employee for any reason, the payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the participant."", ""If the participant has died, upon the participant ceasing to be an Eligible Employee, the payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the person or persons entitled thereto under Section 15."", ""Upon a participant ceasing to be an Eligible Employee for any reason, the participant's option shall be automatically terminated.""]"
Lantronix,"[""Upon a participant's ceasing to be an Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a participant's ceasing to be an Employee for any reason, the payroll deductions credited to the participant's account during the Offering Period but not yet used to exercise the option shall be promptly returned to the participant."", ""If the participant has died, the payroll deductions credited to the participant's account during the Offering Period but not yet used to exercise the option shall be promptly returned to the person or persons entitled thereto under Section 15."", ""Upon a participant's ceasing to be an Employee for any reason, the participant's option shall be automatically terminated.""]"
Cytokinetics,"[""Upon a participant's ceasing to be an Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a participant's ceasing to be an Employee for any reason, the payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the participant."", ""In the case of a participant's death, the payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the person or persons entitled thereto under Section 15."", ""Upon a participant's ceasing to be an Employee for any reason, the participant's option shall be automatically terminated."", ""A participant who receives payment in lieu of notice of termination of employment shall be treated as continuing to be an Employee during the period in which the participant is subject to such payment in lieu of notice."", ""A participant who receives payment in lieu of notice of termination of employment shall be treated as continuing to be an Employee for the participant's customary number of hours per week of employment during the period in which the participant is subject to such payment in lieu of notice.""]"
3 from Arlo,"[""Upon a participant ceasing to be an Eligible Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""If a participant ceases to be an Eligible Employee, the payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the participant."", ""If a participant ceases to be an Eligible Employee due to death, the payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the person or persons entitled thereto under Section 15."", ""Upon a participant ceasing to be an Eligible Employee, the participant's option shall be automatically terminated.""]"
Dolby,"[""Upon a participant's ceasing to be an Eligible Employee for any reason, the participant shall be deemed to have elected to withdraw from the Plan."", ""Upon a participant's ceasing to be an Eligible Employee for any reason, payroll deductions or contributions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the participant."", ""In the case of the participant's death, payroll deductions or contributions credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan shall be returned to the administrator of the participant's estate."", ""Upon a participant's ceasing to be an Eligible Employee for any reason, the participant's option shall be automatically terminated.""]"
