Doc,Clause,Score,Rank,Matched,Unmatched Ref,Unmatched Clause,Opposite
MassRoots,"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby, including voting for an increase in the Authorized Shares.",1.0,-1,N,N,N,N
4 from First Advantage,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement.",0.75,1,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement.'], ['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall cause to be done and performed all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
2 from GenCo,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.",0.75,1,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall cause to be done and performed all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
4 from Albany,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as any other party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.",0.75,1,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform all further acts as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall cause to be done and performed all further acts as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
2 from GrubHub,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder.",0.75,1,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall cause to be done and performed all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as either party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the Plan and the consummation of the transactions contemplated thereunder.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
Landstar,"Further Assurances. Each party hereto shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.",0.6666666666666666,2,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform, or cause to be done and performed, all further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the consummation of the transactions contemplated by the Agreement.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the consummation of the transactions contemplated by the Agreement.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
2 from 8i,"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as may reasonably be considered within the scope of such party's obligations hereunder, in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.",0.6666666666666666,2,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', ""Each party shall do and perform, or cause to be done and performed, all such further acts and things as may reasonably be considered within the scope of such party's obligations under the Agreement, in order to carry out the intent and accomplish the purposes of the Agreement and the consummation of the transactions contemplated by the Agreement.""], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', ""Each party shall execute and deliver all such other agreements, certificates, instruments and documents as may reasonably be considered within the scope of such party's obligations under the Agreement, in order to carry out the intent and accomplish the purposes of the Agreement and the consummation of the transactions contemplated by the Agreement.""]]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
Genesis,"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as the other party may reasonably request in order to carry out the intent and accomplish the purposes of this Waiver.",0.6666666666666666,2,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform, or cause to be done and performed, all such further acts and things as the other party may reasonably request in order to carry out the intent and accomplish the purposes of this Waiver.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all such other agreements, certificates, instruments and documents as the other party may reasonably request in order to carry out the intent and accomplish the purposes of this Waiver.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",[],[]
6 from 3,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder; provided that no such additional documents shall contain terms or conditions inconsistent with the terms and conditions of this Agreement. ",0.6,3,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall cause to be done and performed all further acts as either party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as either party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",['No such additional documents shall contain terms or conditions inconsistent with the terms and conditions of this Agreement.'],[]
4 from 2,"Further Assurances. Each party hereto shall cooperate with each other party, shall do and perform or cause to be done and performed all further acts and things, and shall execute and deliver all other agreements, certificates, instruments, and documents as any other party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan.",0.5,4,"[['Each party shall do and perform, or cause to be done and performed, all such further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall do and perform or cause to be done and performed all further acts and things as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the Plan.'], ['Each party shall execute and deliver all such other agreements, certificates, instruments and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.', 'Each party shall execute and deliver all other agreements, certificates, instruments, and documents as any other party may reasonably request in order to carry out the intent and accomplish the purposes of the Agreement and the Plan.']]","['Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request, including voting for an increase in the Authorized Shares.']",['Each party shall cooperate with each other party.'],[]
