Doc,Clause,Score,Rank
MassRoots,"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby, including voting for an increase in the Authorized Shares.",0.9999999999999998,-1
Landstar,"Further Assurances. Each party hereto shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as any other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.",0.9173155546498302,1
6 from 3,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder; provided that no such additional documents shall contain terms or conditions inconsistent with the terms and conditions of this Agreement. ",0.8901128748549973,4
4 from First Advantage,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement.",0.8656843236775827,7
2 from 8i ,"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as may reasonably be considered within the scope of such party's obligations hereunder, in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.",0.9083111254492041,2
2 from GenCo,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.",0.8817215849447492,6
4 from 2,"Further Assurances. Each party hereto shall cooperate with each other party, shall do and perform or cause to be done and performed all further acts and things, and shall execute and deliver all other agreements, certificates, instruments, and documents as any other party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan.",0.8597241698426895,8
5 from Herbalife,"Further Assurances. Each party hereto shall cooperate with each other party, shall do and perform or cause to be done and performed all further acts and things, and shall execute and deliver all other agreements, certificates, instruments, and documents as any other party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan.",0.8596163422440399,9
4 from Albany,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as any other party hereto reasonably may request in order to carry out the intent and accomplish the purposes of this Award Agreement and the Plan and the consummation of the transactions contemplated thereunder.",0.8823855149661246,5
Genesis,"Further Assurances. Each party shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as the other party may reasonably request in order to carry out the intent and accomplish the purposes of this Waiver.",0.8243204594322849,10
2 from GrubHub,"Further Assurances. Each party hereto shall do and perform (or shall cause to be done and performed) all such further acts and shall execute and deliver all such other agreements, certificates, instruments and documents as either party reasonably may request in order to carry out the intent and accomplish the purposes of this Agreement and the Plan and the consummation of the transactions contemplated thereunder.",0.8941637469926947,3
